-  90% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-  86% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-   2% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=2721)
-   1% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=2721)
-   1% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-   1% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=39639)
-   0% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=170)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=39585)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=43488)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=3881)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=2721)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=3951)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=2720)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
