-  81% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-  60% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-  16% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   8% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   5% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   3% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=616)
-   3% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=148691)
-   3% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=148526)
-   1% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=157552)
-   1% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   1% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=9170)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=9005)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   0% nvsmi_stats                                 (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=9856)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
