seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
90,2000000,False,0.831322063883792,0.6714285714285712,False,0.3409371428571426,False,1.0,0.6622222222222223,0.8692215,0.3750565,0.489025,7,0.9962675,13,0.5570712654983873,uniform,1.0
91,1700265,True,0.7664207045003055,0.5869999999999999,False,0.3409371428571426,False,1.0,0.7377777777777778,0.8870205526785531,0.37975256798204987,0.4482548308646005,6,0.9966687545764925,13,0.5021665845113523,uniform,1.0
92,1730485,True,0.9632118732615483,0.8428571428571413,True,0.4416685714285713,True,1.0,0.5377777777777778,0.7457157964385707,0.3340364117573975,0.5178161035778986,10,0.9944125490830605,13,0.6842040804065156,uniform,1.0
93,2000000,False,0.867614195970294,0.6714285714285712,True,0.30994285714285685,True,1.0,0.22666666666666666,0.4687585,0.198758,0.41621,9,0.9976575,13,0.8687509436472348,uniform,1.0
94,1989037,True,0.9262724151746672,0.7571428571428556,False,0.0,True,1.0,0.5244444444444445,0.5977264374669752,0.263591376128247,0.5501677444914298,10,0.9910811111105525,13,0.8994772952462403,uniform,1.0
95,1679920,True,0.8516742708960159,0.6714285714285712,True,0.38742857142857123,True,1.0,0.43555555555555553,0.6134887375589314,0.2757333682556312,0.5208867088908996,8,0.9969230677651316,13,0.8374767502292434,uniform,1.0
96,2000000,False,0.6669151527294037,0.526142857142858,True,0.27894857142857155,True,1.0,0.8222222222222222,0.615951,0.2500885,0.225073,3,0.9966415,13,0.36212225872620096,uniform,1.0
97,1935919,True,0.6886192658390157,0.5000000000000004,True,0.26345142857142867,True,1.0,0.7422222222222222,0.8836981299320891,0.4185371392088202,0.4105352548324594,5,0.9929914423072453,13,0.46138474917628614,uniform,1.0
98,1643741,True,0.9507014018105949,0.8642857142857128,False,0.4029257142857141,False,1.0,0.6044444444444445,0.9916957720224779,0.4538093288419526,0.5589670148764313,9,0.9969861431940921,13,0.5541573554384179,uniform,1.0
99,1903824,True,0.9547741286594746,0.9071428571428557,False,0.4649142857142856,False,1.0,0.49333333333333335,0.98842907747775,0.4544080755363941,0.5943443301481649,9,0.9922776475136357,13,0.5855258484656034,uniform,1.0
