-  80% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.2s, n=4320)
-  72% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.2s, n=4320)
-  27% chunk_save                                  (min=0.5s, mean=1.0s, max=1.6s, n=32)
-   5% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=4321)
-   3% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4321)
-   3% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=4320)
-   2% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=64754)
-   1% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=270)
-   1% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=64706)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=69072)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=4320)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4321)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=4320)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=4366)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=4430)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=4320)
-   0% checkpoint_save                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=4272)
-   0% checkpoint_save/jaxagent_save               (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=48)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                            (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
