run_id,phase,task,expl_mode,seed,steps,ckpt_policy,logdir,status,su,notes,axis,paired_seed_set
pilot_p2e_cup_seed1,pilot,dmc_cup_catch,expl_p2e,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_p2e_cup_seed1,RUNNING,,,d0,
pilot_apt_cup_seed1,pilot,dmc_cup_catch,expl_apt,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_apt_cup_seed1,RUNNING,,,d0,
pilot_random_cup_seed1,pilot,dmc_cup_catch,expl_random,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_random_cup_seed1,RUNNING,,,d0,
pilot_goal_cup_seed1,pilot,dmc_cup_catch,goal,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_goal_cup_seed1,RUNNING,,,d0,
pilot_p2e_finger_seed1,pilot,dmc_finger_turn_hard,expl_p2e,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_p2e_finger_seed1,RUNNING,,,d0,
pilot_apt_finger_seed1,pilot,dmc_finger_turn_hard,expl_apt,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_apt_finger_seed1,RUNNING,,,d0,
pilot_goal_finger_seed1,pilot,dmc_finger_turn_hard,goal,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_goal_finger_seed1,RUNNING,,,d0,
pilot_random_finger_seed1,pilot,dmc_finger_turn_hard,expl_random,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_random_finger_seed1,RUNNING,,,d0,
pilot_p2e_reacher_seed1,pilot,dmc_reacher_hard,expl_p2e,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_p2e_reacher_seed1,RUNNING,,,d0,
pilot_apt_reacher_seed1,pilot,dmc_reacher_hard,expl_apt,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_apt_reacher_seed1,RUNNING,,,d0,
pilot_random_reacher_seed1,pilot,dmc_reacher_hard,expl_random,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_random_reacher_seed1,RUNNING,,,d0,
pilot_goal_reacher_seed1,pilot,dmc_reacher_hard,goal,1,1e5,replay_kept,/scratch/midway3/rickybao/dreamerv3_runs/pilot_goal_reacher_seed1,RUNNING,,,d0,
pretrain_p2e_walker_seed1,pretrain,dmc_walker_walk,expl_p2e,1,5e5,retained,/scratch/midway3/rickybao/dreamerv3_runs/pretrain_p2e_walker_seed1,DONE,,,,
pretrain_p2e_walker_seed2,pretrain,dmc_walker_walk,expl_p2e,2,5e5,retained,/scratch/midway3/rickybao/dreamerv3_runs/pretrain_p2e_walker_seed2,DONE,,,,
