-  62% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=4753)
-  56% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=4753)
-  10% replay_sample                      (min=0.0s, mean=0.0s, max=5.5s, n=4755)
-   2% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4755)
-   2% jaxagent_policy                    (min=0.0s, mean=0.0s, max=1.2s, n=425)
-   2% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=4752)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=76032)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=76080)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6800)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=75984)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=6800)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4755)
-   0% jaxagent_load                      (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% checkpoint_save                    (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=4753)
-   0% checkpoint_save/jaxagent_save      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=5776)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
